Janitor 40 Male Married $44089
Male Student Married 23 $0
Married Female 68 Retiree $10873
Policeman Male Married $47648 34
Clerk Single 50 Female $30427
Female Married Retiree $5263 67
Married 58 Male Researcher $77717
Female $79445 Zoologist 38 Single
Married Retiree Male 66 $5925
$0 13 Student Single Female
Married Female Retiree $10747 83
Female Lawyer 44 $403679 Married
Male $5165 Married 90 Retiree
Single Student $0 Female 9
58 Female $210682 Architect Married
27 Married Chef Male $107433
Divorced $6682 86 Retiree Male
Female 81 Retiree Single $6684
$6072 Female Retiree Single 86
Judge Male 41 Married $232447
48 $92013 Programmer Widowed Male
$299150 Widowed Actor Female 26
$101884 Secretary Married 34 Male
$0 Single Student 11 Male
Female Married 95 Businessman $295676
91 Married Retiree $9773 Male
$0 12 Female Student Single
Female $8550 Retiree Married 78
Female $116251 Dentist 54 Single
Male 7 Single $0 Student
Male 1 $0 Unemployed Single
71 $150325 Male Single Businessman
Retiree 80 $7068 Divorced Male
42 Married Female Chemist $100239
Female $0 Student Single 24
Male Single $10961 Retiree 70
Programmer 28 $55357 Married Male
Male 68 Retiree $8652 Married
Female 78 Retiree $9470 Single
Single 5 Female Unemployed $0
Student Male $300 8 Single
2 Single Unemployed Male $0
Student Single $0 Male 9
5 Unemployed $0 Male Single
Female Single 12 Student $0
$11703 Mechanic Single Male 23
$7973 Retiree Married 65 Female
$11987 Female Married 77 Retiree
Married 71 $7015 Male Retiree
84 $9493 Male Married Retiree
Retiree 89 $4012 Female Widowed
$0 Single 8 Female Student
Student Female $0 15 Single
Male 96 $7623 Retiree Widowed
$6452 Model Male 23 Married
Single Student Male $0 10
Student $0 Male Single 12
$104433 Married Female Chemist 57
Retiree $10264 78 Male Single
Male $362827 Psychiatrist Married 52
Male 28 Married Dentist $55842
Male 2 $0 Single Unemployed
Businessman 47 Female $155810 Widowed
Married 52 Salesman $75085 Female
Retiree Single $5634 Female 76
84 $7080 Female Retiree Married
Widowed Male $264120 30 Actor
$269493 Female 38 Divorced Surgeon
Male Divorced Lawyer $417593 39
Student Male 23 Single $0
Male 41 $264247 Accountant Married
Single 6 $500 Student Male
15 $0 Student Female Single
55 $255641 Widowed Female Model
Female Retiree Married $5616 79
Male Married Banker 61 $373010
Retiree 71 Male Married $6001
26 Teacher Male Widowed $109666
Male Student Single 21 $0
Married $6516 88 Retiree Male
81 Retiree $7373 Single Male
Female Businessman 86 Married $213565
Single Male 11 $0 Student
68 Retiree Married Female $8599
Widowed Female $112818 51 Programmer
Businessman Male 82 $25473 Married
Actor Male $130820 37 Widowed
$106148 Male 38 Salesman Single
Single Student $0 Male 9
$102793 31 Pilot Male Widowed
Pilot 63 Female $374721 Married
Single Female 15 Student $0
Retiree $5646 74 Male Single
Retiree Divorced $5273 Male 86
Unemployed Other 5 $0 Single
$126675 56 Married Banker Female
Married $56612 36 Janitor Female
$186165 Female 28 Married Carpenter
Retiree $6930 Female Widowed 84
Clerk $34319 Married 36 Female
Female Single $0 2 Unemployed
37 $163180 Married Businessman Female
$0 20 Male Student Single
Retiree Male Single 76 $4587
Male Lawyer Married 29 $172688
68 Female $5312 Retiree Single
Male $0 Student Single 13
Divorced $170158 Accountant Male 64
41 Zoologist $84336 Male Widowed
10 $0 Single Female Student
Married Retiree $6047 84 Male
85 $10457 Female Retiree Married
Male $11240 Married 100 Retiree
$50048 25 Female Veterinarian Married
Female Mechanic 53 Married $43586
$10529 87 Retiree Male Married
Female Widowed $162634 25 Professor
53 $82507 Soldier Single Female
Student $0 10 Single Male
Female 22 Student $0 Single
Divorced Psychiatrist Female 28 $443084
$87157 56 Male Chemist Married
$0 Student 18 Single Male
Student Male 7 Single $100
$104597 53 Female Married Botanist
Married Student 21 $0 Female
$0 21 Single Female Student
Male Single Unemployed $0 4
Married $27024 Barista Female 29
$4763 Retiree 100 Female Married
Widowed 40 Female $373119 Pilot
Single 28 $71273 Programmer Male
86 Male Retiree $8614 Married
$8801 Male Retiree 93 Widowed
19 Female Single $7291 Student
$6394 Retiree Married Male 76
Male Nurse Single $74727 41
Married Retiree $5770 Female 90
Married 29 Zoologist Female $70469
$84565 Zoologist 57 Married Female
Female $78884 Firefighter Single 42
Male $8162 Single 81 Retiree
58 Plumber Married Male $46388
$4638 96 Married Female Retiree
Female $95757 26 Secretary Married
Single Unemployed Female $0 2
54 $317330 Lawyer Male Widowed
Divorced 39 $350986 Doctor Male
Retiree 65 Single $8558 Female
$2516 16 Student Female Single
$444594 Single 92 Businessman Male
100 Divorced Retiree Male $6904
$383892 63 Male Married Chef
Male Retiree Single 74 $7803
89 $5699 Female Single Retiree
Female 87 Retiree $6465 Divorced
Single $0 Female Student 16
Married 34 Female Mechanic $39692
49 Married Other $324059 Psychiatrist
Married Male $51259 43 Waiter
Married Student Male $5612 21
Retiree $11123 Female 92 Widowed
91 Female Retiree $7470 Married
99 Male $5145 Retiree Married
Firefighter 45 Married Female $41407
95 Single Retiree Female $10636
Married Female 77 Retiree $8809
Retiree $7924 Female 100 Married
31 Chef Male $130871 Married
Married Male 85 Retiree $5758
Student Single Female 13 $0
$67921 Widowed Businessman Female 68
Female $5249 Married 93 Retiree
Divorced Programmer 49 Female $106202
42 Male Veterinarian Married $68442
44 $37088 Model Female Married
$8026 Married Plumber Female 19
25 Male Clerk Single $55462
$143431 Male 63 Banker Single
Married $9382 Cashier Male 22
Student $0 Single Female 9
Professor $288590 Widowed Male 52
Female 50 $96614 Nurse Married
$0 Single Male Student 8
$65816 Businessman Married Female 88
Student Single $0 Female 8
47 Widowed Male Teacher $74578
Male Retiree $6457 Single 70
Married $11447 Female 96 Retiree
Student 10 $0 Single Female
95 Female Retiree Married $4946
Married 81 Retiree $9897 Male
Female Married $102871 Firefighter 31
Retiree 93 Widowed $10167 Male
45 Female $65108 Chemist Divorced
Single 5 $0 Unemployed Female
Retiree 78 Married $4679 Female
Widowed Female 96 Retiree $4582
$6561 Retiree Married Male 84
Widowed 27 Chemist $91649 Male
$0 Student Female 18 Single
Male Actor $361010 Married 55
$11127 Male Married Retiree 77
$0 Student 11 Female Single
Veterinarian 62 Married $46626 Male
Married Soldier Male 56 $100618
Single $0 Male 9 Student
15 Student Single $0 Male
1 $0 Single Unemployed Female
Other $10233 Single 20 Cashier
Banker Female $242088 Single 46
Married $8794 Female Retiree 69
Retiree Male Married 97 $9223
Teacher Single 27 $69758 Female
63 Married $52937 Dentist Female
Widowed 52 Soldier Female $68725
Student 7 $0 Single Male
Married Retiree 92 $11348 Male
Retiree Single $11013 Male 90
Student Single 9 $300 Male
Male 55 Married $91262 Chemist
Single $0 2 Male Unemployed
Male Student $0 Single 15
39 Architect Divorced $152856 Female
Male 58 $358682 Married Judge
$105543 Single Female Carpenter 38
Single $0 Student 16 Male
66 Married $4959 Male Retiree
Married 91 Retiree Male $7287
Female 74 Married Retiree $4505
Unemployed Single 5 $0 Female
Soldier Widowed Female 49 $101675
Female $241671 29 Professor Married
Single Female Retiree $10123 70
Single Judge Female 34 $428414
11 Female Single Student $0
Male 13 Single Student $0
89 Female $428170 Single Businessman
Unemployed Single $0 Female 2
$8857 Retiree Male Married 76
Single Female $47652 27 Botanist
Divorced Female $68152 Zoologist 62
Retiree Male 82 $8135 Married
Married 74 Retiree $8286 Female
$10647 Male 75 Retiree Married
Retiree 96 Married $4252 Male
Designer Married 31 Female $285885
$52045 Chef Married 64 Female
Student Male $300 8 Single
Unemployed Single Male $0 2
Driver Married $46456 Male 44
$5242 Female 71 Married Retiree
Married Male 38 Zoologist $106600
Female $0 Single Student 16
Retiree $9902 Male 94 Widowed
Banker 26 Married $187713 Male
Male $98929 Policeman 63 Married
Retiree $7668 78 Married Female
$8764 Married Retiree Male 87
Chef 47 Female Widowed $421826
25 $437401 Chef Married Male
$171311 Psychiatrist Female Widowed 58
Male Retiree 77 $7297 Married
Divorced 91 Retiree $6757 Male
Single Male $10260 84 Retiree
Married Retiree $10285 Male 71
Retiree 74 $10250 Female Married
15 Male $836 Student Single
21 $4159 Female Student Single
Janitor Female 33 $32466 Married
Chemist 52 Male Married $105147
Married Female $44176 Veterinarian 28
Male 89 $5314 Retiree Single
Single Female Student 10 $0
Clerk 46 Male $40845 Married
Female Married Actor $328946 58
72 Retiree Married $5957 Female
80 Divorced $8042 Retiree Female
Male Student Single $0 13
$53967 Designer Single Female 39
Student $0 Single Male 6
Retiree Female 96 $9411 Married
67 Female Retiree $11418 Married
Widowed 67 $4837 Male Retiree
Model Male 40 Widowed $220361
$11052 Male Single 82 Retiree
23 $0 Single Male Student
Male Unemployed $0 2 Single
Veterinarian Single 57 Female $68724
Male Widowed $220400 36 Chef
Female $8026 Retiree Divorced 96
$0 Other Student 19 Single
Student $6952 Married 19 Male
Single $0 Student 17 Male
Florist 20 Male Widowed $10621
$7876 100 Female Married Retiree
Chemist $68793 Male 31 Single
Unemployed Female Single 2 $0
47 Designer Divorced Female $126119
Retiree Married Male 89 $9653
Zoologist Married 51 $100752 Female
$8101 Retiree Married Male 72
Single $7213 71 Male Retiree
69 $8992 Female Retiree Divorced
Married Female 69 Retiree $8690
Single 15 Student Female $0
Male $10905 Divorced 65 Retiree
Married $139050 Female 39 Actor
Male 84 Married $5886 Retiree
Married $110474 Male 52 Firefighter
Single Student Male 14 $0
Zoologist 58 Married Female $109725
76 $11795 Divorced Retiree Female
Student $100 Single Male 7
Married $9455 85 Female Retiree
Student 7 Male Single $0
Bookeeper 55 Divorced Male $28652
Single $92193 36 Dentist Male
$238077 Female Divorced 77 Businessman
60 Male $428457 Accountant Married
Programmer Single $58983 54 Female
Married $103119 Male Chemist 64
15 Student Single Female $0
Female Divorced 19 $0 Student
Widowed $10641 73 Retiree Male
Firefighter 35 Female $75180 Single
Married $10340 80 Female Retiree
$26872 40 Male Divorced Nanny
Married Florist $48734 55 Female
Retiree $7732 83 Female Married
Student Male 13 $0 Single
87 $4393 Married Retiree Male
Other 89 $8191 Retiree Married
Single Retiree 80 $6341 Male
$374263 61 Single Other Psychiatrist
Married Retiree $4524 98 Female
$0 Student Female 18 Single
Female Married 34 $75146 Veterinarian
48 Divorced Male Professor $175549
Married 39 Male $87552 Secretary
Male Salesman 57 $53544 Married
Female Married Retiree 73 $7520
Botanist $97961 Married 51 Female
$76147 Male Secretary Married 25
Single 55 Professor $434930 Male
Male Student Single 10 $0
Female 69 $5095 Retiree Single
Widowed Pilot 47 Male $388229
Married 93 Retiree $7444 Male
$50801 58 Botanist Married Male
Retiree 85 Married Female $5702
Male Widowed 58 Professor $339536
$205627 89 Single Businessman Female
26 Married Programmer $108695 Male
Married Chemist 56 Female $79239
Male Nurse Married 41 $72154
Female $287557 Married Banker 54
Female 22 Waiter $11558 Single
6 Single Male $0 Student
Female Divorced $4662 67 Retiree
Student Single Female $0 13
Male $86648 Married 56 Soldier
Unemployed Female $0 1 Single
Divorced $185770 88 Male Businessman
Driver Male Married $104413 64
$78040 52 Male Chemist Divorced
46 Married $108787 Policeman Male
39 Female $248948 Divorced Pilot
Cashier Married $38136 38 Female
67 $11396 Female Married Retiree
$398358 41 Doctor Married Male
Male 3 Single Unemployed $0
$10352 Male Retiree 89 Married
Unemployed Female 4 $0 Single
$93266 40 Nurse Male Divorced
Married Male $217422 Architect 37
$347503 69 Businessman Married Female
Single Unemployed $0 Female 4
Married Researcher 55 Male $66986
$177834 36 Designer Married Male
$0 1 Unemployed Female Single
11 Single $0 Female Student
Married $10114 81 Female Retiree
33 Veterinarian Single $106128 Female
Single 3 Female $0 Unemployed
91 Female Retiree Married $7651
Married Veterinarian Other $48679 35
Female Married 40 $174755 Designer
3 Unemployed Male Single $0
Married Male $58000 45 Cashier
52 Male Dentist Widowed $89017
Artist Female $18778 57 Single
50 Married $64341 Dentist Male
7 Male Student $0 Single
Male Married $4329 87 Retiree
Single Retiree $7448 Female 98
Female 61 $328456 Divorced Judge
Male Single 69 Retiree $4114
Female Dentist $74202 Divorced 64
Male $120458 Businessman 98 Married
Lawyer $151507 Married Female 40
$72570 Married Secretary Male 27
Retiree $11378 Married 100 Female
Nurse $53358 Single 40 Male
Single Student $0 Female 18
51 Single $81675 Female Teacher
$5423 Female 98 Married Retiree
Single Female 18 $0 Student
Female 2 $0 Unemployed Single
Retiree Male 97 $8660 Married
Judge Male Married 35 $353546
Secretary $56949 60 Male Widowed
Married Male $22994 40 Janitor
50 Carpenter Widowed Male $74624
Married Retiree 97 $7296 Male
Male $10341 Married Retiree 92
Secretary Widowed Male 50 $48378
Single 27 Female $19187 Nanny
Retiree 75 Male Single $8252
Married $9416 Female 68 Retiree
70 $9240 Married Retiree Male
Single $0 Male 11 Student
Widowed 97 $4929 Female Retiree
Male Widowed Librarian $48482 55
Married Nurse $99368 Female 41
$8382 Retiree 72 Married Male
85 Divorced Businessman Male $238613
$9553 Male Divorced Retiree 71
Student Male 21 $5008 Married
Married Retiree $11421 Male 98
$220987 Professor Married Female 27
Retiree Female 100 $9142 Married
Divorced $9691 80 Retiree Female
Female 41 $357296 Carpenter Married
94 Male Married $9072 Retiree
$11130 67 Female Widowed Retiree
$4908 Male Retiree 89 Divorced
$0 24 Male Single Student
$312663 Male 37 Artist Divorced
Married $57175 Female Firefighter 37
Widowed Female $8527 88 Retiree
84 $47433 Female Businessman Married
$6697 Male 69 Divorced Retiree
Male $6258 Retiree 71 Widowed
Student Female Single 9 $0
11 $0 Female Single Student
Married 51 $115683 Soldier Female
Married 82 $6921 Female Retiree
Judge $120124 Divorced Male 33
92 $4406 Retiree Single Female
Male 73 Retiree $8816 Divorced
$107215 Married Female 88 Businessman
Widowed Male Student $4232 20
$8400 Male Retiree 92 Single
61 Policeman Male Married $118967
Married $9791 Retiree 91 Male
$6318 97 Female Retiree Married
8 Single Female $100 Student
Male Widowed Doctor 52 $362650
37 Female Pilot $112943 Married
$78327 39 Single Male Secretary
90 Single $8506 Male Retiree
Male Single Zoologist $70461 50
Programmer $47862 53 Divorced Male
Retiree 98 Female Married $6117
$8895 68 Married Male Retiree
Married Female Programmer 25 $83174
Married Female $23693 42 Bookeeper
Married Female Retiree 100 $9882
Married Retiree Female 94 $5697
Businessman 56 Widowed Female $368618
Married $290953 37 Female Doctor
Male Researcher 44 $60727 Divorced
Retiree Male Married 96 $7100
Nanny Single $45828 Male 56
Artist 44 Married $414536 Female
Student $0 Male 15 Single
Widowed 31 Driver Female $46951
Male $0 Student Single 12
Widowed 57 $113374 Male Botanist
9 $0 Single Male Student
Psychiatrist 32 Male $407289 Married
Male 67 Retiree Married $4330
$8194 Male Retiree 95 Single
Single $0 Student Male 15
$45550 Widowed 53 Soldier Female
Banker 63 $425439 Male Divorced
Female Single 3 Unemployed $0
$0 15 Student Single Other
Male Businessman $368939 71 Single
64 Single $51496 Zoologist Female
Male Soldier $53259 Married 43
Nurse $53118 53 Married Female
Accountant 29 Male $352779 Married
Married Female $11794 Retiree 97
Student Male 15 $0 Single
$233252 Male 45 Designer Married
Married Female Student 24 $0
Student 10 Single Male $100
$349608 Other Doctor Divorced 32
9 Student Single $0 Male
$0 Single Male 8 Student
Married Male $7351 Retiree 75
Divorced Other Retiree 76 $10218
Female 23 Student Married $0
Female $0 Single Student 6
Single 77 $10618 Male Retiree
Male 73 $7485 Retiree Single
Single Doctor 54 $195060 Female
Single Retiree $5300 Female 67
Widowed 37 Surgeon Male $357278
Male Unemployed 3 Single $0
76 Retiree Married $8010 Female
$84066 Nurse 34 Male Married
62 Married Banker Male $219173
Female Married Accountant $282471 31
$283972 Artist Female 59 Widowed
$424854 Widowed Female Businessman 96
$18371 61 Male Widowed Nanny
Nanny Male $35264 42 Single
Retiree 71 $4750 Female Married
Female Retiree Married $9213 80
Retiree 73 Married $5677 Female
Male Teacher 59 $40149 Married
Female 96 Retiree Widowed $7335
$87962 36 Policeman Male Single
Female Policeman Single 32 $55699
Single Other 81 $5529 Retiree
Businessman Single $243636 Male 48
18 $0 Female Student Single
Female 61 Secretary Married $44319
$282004 Married Female Actor 32
Male Architect 64 Married $419631
Firefighter Single $101138 52 Male
Zoologist Male $66051 33 Married
14 $0 Single Other Student
Married Female $148912 Pilot 55
$6743 99 Widowed Female Retiree
Female $11634 98 Married Retiree
$108864 Nurse Married Female 26
Male 9 Single $0 Student
$307954 Architect 61 Male Married
$6391 Female Married 89 Retiree
89 $9244 Widowed Male Retiree
Student Single 13 $0 Male
Married Programmer $113097 49 Female
27 Nurse Female $59643 Married
Female Single $0 Student 21
$187074 63 Married Male Surgeon
Male Married 75 $4206 Retiree
$0 15 Male Single Student
Musician 47 Female $150410 Widowed
Student Single $0 14 Female
Single Female Policeman 31 $116604
2 Female Single $0 Unemployed
Female $56102 Divorced 27 Researcher
Male 46 $67002 Chef Married
14 Male Single Student $0
Male 40 Veterinarian $84414 Married
$10947 Retiree 68 Female Married
Female 45 $97859 Chemist Single
Single Student 12 $0 Male
Retiree 68 Female $7374 Widowed
$8123 Retiree Female 70 Married
Male Married Pilot $418821 46
73 $10811 Retiree Female Single
21 $0 Student Male Married
79 Retiree $9863 Single Male
Divorced 23 Student $0 Male
$4986 77 Female Retiree Married
Female 15 Single Student $0
35 Doctor Male Divorced $310276
Student Female Single $0 16
Female Dentist Single 26 $52493
$310788 Actor 56 Single Male
Retiree Female $8970 65 Single
Designer 39 $321801 Male Married
$0 Male Student 12 Single
Married Retiree 78 $6128 Female
$55847 Married Other 39 Dentist
Retiree $8160 Single Female 100
$90479 Businessman Male 73 Widowed
Married 82 Other $8872 Retiree
15 Male Single Student $0
$5995 99 Retiree Widowed Male
Zoologist $73489 49 Female Widowed
$59554 Married 63 Photographer Male
$6671 Retiree Male Widowed 68
69 Female Widowed $32812 Businessman
Janitor Female 61 Married $24033
39 $219572 Male Pilot Married
$166084 26 Female Divorced Artist
Male $6978 Retiree 74 Married
Married Female 89 Retiree $4174
$183108 Female Businessman Married 36
Single 19 $10739 Male Plumber
$439565 Male 45 Psychiatrist Divorced
23 Student $0 Female Single
$5810 Retiree 99 Divorced Male
Married $278114 Male Surgeon 38
Businessman $110030 Female 84 Married
Retiree 80 Married $6575 Male
$0 Female Student 16 Single
$0 Student Female 16 Single
$111897 Chemist Single 25 Male
Student 18 $0 Single Other
Driver Single Male 25 $46745
Retiree Female $5303 80 Married
Married Male Retiree $8874 67
Male Married $89308 41 Driver
Female Single 17 $0 Student
$121923 34 Doctor Male Single
49 Male $111396 Policeman Widowed
Single Female Bookeeper 54 $36411
Single 18 Male Student $0
48 $42846 Female Secretary Widowed
Student Single Female 6 $0
$6881 Married Female Retiree 67
Male Retiree Divorced 98 $11184
Florist $10713 Widowed Male 24
89 Retiree Male Single $11539
Male $79184 Single 36 Policeman
69 Retiree $7392 Married Female
8 $0 Male Student Single
Married Policeman $106196 59 Male
Retiree $4572 Divorced 67 Female
Female 20 Mechanic $8246 Single
$39430 Married Female 52 Waiter
Male Single 1 $0 Unemployed
Married 97 Male $8681 Retiree
$74097 Widowed Policeman Male 39
Male 52 Professor $384584 Married
Married $279970 50 Lawyer Female
Student Male 23 $0 Widowed
14 Student Male Single $0
Female $11009 67 Retiree Married
$421657 Designer Widowed 43 Female
Female $10281 97 Retiree Divorced
Married 96 Male Retiree $8693
Male Divorced $5175 Retiree 79
Retiree Female Married $9831 95
Female $654 Student Single 13
Male Retiree 84 $6441 Married
Retiree 88 Married $11142 Female
Barista 37 Male Single $56186
82 $6540 Single Retiree Female
75 Single Retiree $5063 Male
Actor Married 60 $357655 Female
$0 Unemployed 5 Single Female
Male 85 $6613 Single Retiree
61 Widowed $364493 Male Banker
Single 5 $0 Unemployed Female
48 $35672 Single Other Janitor
$5272 68 Single Male Retiree
Retiree Single $5700 82 Male
Married Retiree $5460 91 Female
Policeman Male 30 $76994 Single
$76973 Married 31 Nurse Male
Female Artist 64 Married $119367
Female $189065 41 Accountant Married
Male Nurse 31 $96162 Single
Female $0 Single Student 22
$9998 Florist 22 Female Single
Single 17 Male Student $2395
Female Married 38 Clerk $16578
22 $3433 Male Widowed Student
Female Married 36 Psychiatrist $264676
$116613 Widowed Policeman 53 Male
Single Student 9 Female $0
43 Doctor $271094 Male Single
Male $86809 Businessman 80 Married
52 Secretary Married $86638 Female
Female $0 Single Unemployed 3
Female $34223 Married 55 Cashier
Female 80 Retiree $4783 Married
Married Retiree Male 100 $7238
34 Lawyer Male $363894 Married
Male Widowed 76 Retiree $4982
74 Male $11385 Widowed Retiree
Male $109528 Widowed Soldier 51
$292159 Female Judge Married 60
42 $229148 Pilot Single Female
Single Student 12 $0 Male
$100 Male Student 8 Single
Driver 61 Male Married $52426
$11258 Retiree Female 91 Married
Accountant Widowed $383547 Female 34
50 Soldier $115201 Male Married
Single 22 Student Female $0
Female 35 Widowed $94582 Secretary
Single 58 $130067 Female Doctor
46 Divorced Male Pilot $397747
Married Male Retiree 75 $9306
Male $0 Student 14 Single
$88896 40 Married Zoologist Male
$142145 Architect Widowed Female 56
Retiree Married Female $6378 74
Retiree Female Married $8259 99
$6412 Female 74 Retiree Widowed
Married 37 Male $33813 Plumber
Male 23 $11942 Janitor Married
Cashier Divorced 19 Female $11926
$22099 Married Florist 47 Female
Student $8307 Single 21 Male
Male 68 Married $11566 Retiree
Male $43468 43 Veterinarian Married
Single 69 Retiree $6064 Female
Retiree 65 Married Female $10308
Female $40032 40 Programmer Married
88 Retiree Male Married $5061
Widowed $62976 Female 32 Researcher
77 Single Retiree Female $5548
Widowed Retiree Male 75 $9938
Single $302627 35 Model Male
Single Male 7 $0 Student
$8453 Married 75 Retiree Male
Single Male 57 Cashier $49456
Married 57 Male $55328 Teacher
Student Female 20 Single $0
Pilot Female Married $176417 46
58 Male Zoologist Divorced $101575
$0 2 Female Single Unemployed
$6975 23 Student Single Female
Female 23 Single $0 Student
Author Divorced Male 56 $172469
Female Single $300 Student 7
Programmer $105907 Female 28 Married
$71450 38 Single Male Researcher
Cashier 55 Female Married $31806
Retiree 87 $6060 Married Female
$47643 Zoologist Married 55 Male
Female 81 Businessman Married $437728
Female $49933 47 Married Soldier
50 Mechanic $45239 Widowed Female
Judge Married Female 27 $291239
Male 72 $9809 Married Retiree
$6960 Male Retiree Divorced 74
$6868 Single 92 Retiree Male
Male Single Student 23 $0
Retiree $6916 Male Married 95
Chemist $100506 Male 42 Married
Divorced Male $74089 58 Botanist
Female 69 Retiree Married $8065
$10031 Single Male Retiree 66
$6417 Married Female Retiree 77
Married Banker $222641 Female 45
82 Retiree Male $7911 Married
$5924 Married Retiree Female 65
35 Married Author $46642 Male
$111404 Female 31 Salesman Married
68 $315238 Male Divorced Businessman
41 Male Teacher Married $76463
Married Retiree 77 Female $6685
$11788 Retiree 69 Female Married
Divorced Driver 30 Female $70463
$300968 Professor 45 Female Married
$32067 Married Plumber 46 Female
Retiree Married 69 Male $10626
Female Chemist $116705 29 Married
$64491 Single Firefighter Female 61
Retiree 65 Married Male $10076
Chemist Married 42 Female $101021
25 Male $191197 Carpenter Married
Married Retiree $5236 Male 86
Male Single Retiree 69 $4733
64 Cashier Married Male $19013
97 Female Retiree $11402 Single
$44662 Married Female Clerk 49
Retiree Married 98 $5104 Male
Widowed Female 70 Retiree $8733
Veterinarian Male $69945 58 Married
Retiree Female $5171 Divorced 86
Male 4 $0 Single Unemployed
Female 82 $356603 Businessman Widowed
Male Single $0 18 Student
$0 Single Female 19 Student
55 Chef Married Female $39739
Female 16 Single Student $0
5 Female Unemployed $0 Single
Married Psychiatrist 58 $239565 Male
Single Female $0 8 Student
Male Single $0 Student 8
Firefighter 45 $58685 Female Single
Student Single 8 Female $0
Retiree Female Divorced $8925 99
Single 11 Male Student $0
$6252 Retiree 75 Female Single
Student Male Single 6 $0
Single 57 $111759 Firefighter Male
Married Female 87 $9792 Retiree
Single Male $0 1 Unemployed
73 Male $10954 Retiree Married
3 Single Unemployed $0 Male
Married Secretary $48046 Female 27
$46017 46 Waiter Female Married
Female Married 76 $8212 Retiree
$5921 Male Retiree 98 Married
$9958 80 Married Male Retiree
Female Married Retiree 89 $8357
$7187 Male Divorced 84 Retiree
Female Botanist 64 Married $119495
$90739 Carpenter 38 Female Married
$8949 83 Female Single Retiree
$0 Single Student Male 6
Married Male 26 $110263 Carpenter
$500 Female Student Single 7
Single Student $0 Male 20
30 Researcher $100474 Married Male
Male $0 22 Divorced Student
44 $50023 Married Botanist Female
Male $190766 Surgeon 35 Married
Male Student 24 $4685 Married
$85083 Female Married 61 Teacher
Single Researcher 25 Male $85295
Widowed 73 Retiree Female $11264
29 Botanist Married $89347 Male
$305438 Male 64 Married Professor
6 Student Single Female $0
$8861 Retiree 65 Male Married
$9759 81 Retiree Single Male
20 Married Student $0 Male
$0 14 Single Male Student
Female Carpenter 34 Married $128440
$403499 Surgeon Single 34 Male
10 $0 Male Student Single
18 Student Female $0 Single
$54534 45 Married Botanist Male
Married Retiree 87 Male $7099
69 Retiree Female $5945 Married
Judge Married Male 31 $100352
$258404 Widowed Doctor 27 Female
99 Retiree Divorced Female $4689
Lawyer $207541 Male Married 30
69 Male Widowed Retiree $4061
Doctor 44 Widowed Male $359021
Single Unemployed 5 $0 Male
Nurse $105679 Single Male 50
Female Programmer 34 $116024 Married
Student $0 Single Female 21
12 Single $473 Student Male
Driver 42 $58999 Female Divorced
$5895 Male Retiree 92 Divorced
18 Female Single Student $0
54 Female $51244 Chef Married
99 Female Retiree $6715 Married
Nanny Divorced Female $37968 33
$377773 Female 37 Divorced Doctor
Married $0 19 Female Student
Retiree Female Married $8972 88
$51553 Male Married Soldier 64
Retiree $5486 Married Female 78
Widowed Retiree Male 94 $10782
Male $7794 Single 75 Retiree
$13290 Mechanic 36 Female Married
Retiree Male Married $7895 71
Retiree Married 79 $6087 Female
Divorced $437273 Male Pilot 28
Male Married Retiree $11190 95
Female Retiree $6648 Married 93
Male Married Businessman 79 $261123
Retiree $11297 Male 93 Married
Retiree Single 97 $11474 Male
$5030 Retiree Female 80 Married
$445149 46 Female Psychiatrist Married
76 Single $11781 Retiree Male
Widowed $77046 Salesman Female 60
$4612 77 Married Male Retiree
Single $0 Female Student 22
$4448 Married Retiree 78 Female
$129736 Actor Married Female 64
Doctor 54 Female $246203 Married
20 Female $8176 Janitor Single
Widowed $179522 Male 31 Model
Student 22 Other Married $7866
17 Single Student $0 Female
29 Male Firefighter Married $48177
Author $207193 Single 41 Female
100 Married $10654 Retiree Male
$4206 Married 65 Retiree Female
$142166 Businessman 98 Female Married
40 $68620 Programmer Male Widowed
$9200 Male Retiree 94 Divorced
Male Married 62 Driver $57088
55 $228822 Male Businessman Widowed
Male 13 Single $0 Student
Male Divorced $54017 Cashier 37
Student Male 17 Married $0
$0 15 Single Student Male
Married 68 Retiree $11722 Male
Divorced Female Chemist $84423 41
75 Retiree $4435 Widowed Male
Married Male 83 Retiree $4000
Female Single 76 $4993 Retiree
Single Student Female $0 10
$9696 84 Retiree Female Married
37 Male Soldier $52532 Divorced
Married Male 45 $331449 Judge
57 Male Married Soldier $66514
Male Secretary 63 Single $58785
Married $319058 38 Designer Male
Married $10461 91 Retiree Female
$5781 Single 17 Female Student
Male 21 Student Widowed $0
48 Male Married $70433 Soldier
92 $7849 Male Divorced Retiree
$5908 70 Female Retiree Married
Retiree Male Married $5015 80
Divorced Female Businessman 84 $120928
Married Female $10601 66 Retiree
Male Single 3 Unemployed $0
Female Retiree $8699 Married 69
Female Married 64 $89551 Dentist
Student Male Single 14 $966
85 Widowed Male $5579 Retiree
Married $189551 Male Artist 50
$56886 Female Single Teacher 32
Doctor Female $273611 60 Single
100 Male Married $324397 Businessman
Female 92 $9464 Retiree Married
Male $8379 Widowed 86 Retiree
Male $4596 Retiree 68 Single
Married Male $11151 Retiree 65
$0 Single Student 13 Female
Male 22 Single Mechanic $7451
Nurse $64900 27 Divorced Male
34 $39195 Widowed Female Mechanic
